k,disruption_percent
1,0.6088
2,0.7334
3,0.8652
4,0.8901
5,0.9509
6,1.0130
7,1.0452
8,1.0831
9,1.1001
10,1.1496
11,1.2157
12,1.2763
13,1.2647
14,1.3061
15,1.3125
16,1.3136
17,1.3441
18,1.3624
19,1.4000
20,1.3526
21,1.3852
22,1.3619
23,1.3657
24,1.4018
25,1.3696
26,1.3634
27,1.3800
28,1.3717
29,1.3803
30,1.3564
31,1.3606
32,1.3223
33,1.3101
34,1.2976
35,1.3129
36,1.2929
37,1.2965
38,1.2879
39,1.2389
40,1.2188
41,1.2214
42,1.1951
43,1.2294
44,1.1941
45,1.2075
46,1.1705
47,1.1782
48,1.1392
49,1.1196
50,1.1420
51,1.1466
52,1.1228
53,1.1142
54,1.1152
55,1.1298
56,1.0618
57,1.0652
58,1.0214
59,1.0240
60,0.9924
61,0.9787
62,0.9482
63,0.9202
64,0.9415
65,0.8637
66,0.8621
67,0.8744
68,0.8349
69,0.8372
70,0.8397
71,0.7897
72,0.7906
73,0.7803
74,0.7340
75,0.7267
76,0.7188
77,0.6970
78,0.6384
79,0.6543
80,0.6031
81,0.5625
82,0.5598
83,0.4939
84,0.4294
85,0.4071
86,0.3708
87,0.3171
88,0.2417
89,0.2498
90,0.1832
91,0.1357
92,0.1145
93,0.1091
94,0.1018
95,0.0611
96,0.0763
97,0.0000
98,0.0000
99,0.0000
